a : 			eyk
incite : 		v.t.##aamaadah karna&nbsp;/&nbsp;SHaeh deyna&nbsp;/&nbsp;sulgaana&nbsp;/&nbsp;warGHalaana
incitement : 	n.##SHaeh&nbsp;/&nbsp;SHar&nbsp;/&nbsp;taeHriik
incivility : 	n.##bad taehziibi
inclement : 	a.##karaKHt&nbsp;/&nbsp;saKHt&nbsp;/&nbsp;SHadiid&nbsp;/&nbsp;tuufaani
inclemency : 	n.##duruSHti&nbsp;/&nbsp;karaKHtagi&nbsp;/&nbsp;saKHti
inclination : 	n.##dil(m.)&nbsp;/&nbsp;lagaa'o(m.)&nbsp;/&nbsp;maelaan(m.)&nbsp;/&nbsp;mas(m.)&nbsp;/&nbsp;
			raGHbat&nbsp;/&nbsp;rujHaan(m.)&nbsp;/&nbsp;ruKH(m.)&nbsp;/&nbsp;uftaad(f.)
incline : 	v.i.##Dhalakna&nbsp;/&nbsp;jhukna&nbsp;/&nbsp;muRna
incline :         v.t.##Dhalkaana&nbsp;/&nbsp;jhukaana&nbsp;/&nbsp;moRna
incline : 	n.##Dhaal
inclined : 	a.##aaRa(m.)&nbsp;/&nbsp;aaRi(f.)
inclined to : 	a.##raaGHib
include : 	v.t.##darj karna&nbsp;/&nbsp;gheyrna&nbsp;/&nbsp;laana&nbsp;/&nbsp;SHaamil karna&nbsp;/&nbsp;
			SHariik karna
included :        a.##darj&nbsp;/&nbsp;SHaamil&nbsp;/&nbsp;SHariik
including :       a.##ba SHumuul&nbsp;/&nbsp;SHaamil&nbsp;/&nbsp;muSHtamil
inclusion : 	n.##SHumuul&nbsp;/&nbsp;zimn
inclusive : 	a.##laGHaayat&nbsp;/&nbsp;muSHtamil&nbsp;/&nbsp;SHaamil
incognisance : 	n.##anjaan pan(m.)&nbsp;/&nbsp;bey KHabri(f.)&nbsp;/&nbsp;laa ilmi(f.)
incoherence : 	n.##adam e irtebaat
incoherent : 	a.##bey rabt&nbsp;/&nbsp;bila mutaabiqah&nbsp;/&nbsp;Dhiila
income : 		n.##aamdani&nbsp;/&nbsp;nikaas&nbsp;/&nbsp;paeda waar&nbsp;/&nbsp;tanKHwaah&nbsp;/&nbsp;yaaft
incommensurate : 	a.##baa mauzuun&nbsp;/&nbsp;naa kaafi
incommunicado : 	a.##naa rasa&nbsp;/&nbsp;raabitey sey maeHruum
incomparable :    a.      bey misl&nbsp;/&nbsp;yakta
incompatible : 	a.##bey joR
incompetence : 	n.##naa aehliyat
incompetent :     a.      naa aehl
incomplete :      a.      adhuura&nbsp;/&nbsp;naa tamaam
incongruity : 	n.##adam e mutaabiqat
incongruous : 	a.##an mil&nbsp;/&nbsp;bey joR&nbsp;/&nbsp;;muHKtalif&nbsp;/&nbsp;naa mauzuun
incongruent : 	a.##naa laa'eq&nbsp;/&nbsp;naa mauzuun&nbsp;/&nbsp;naa munaasib
inconsequent : 	a.##bey joR&nbsp;/&nbsp;bey rabt&nbsp;/&nbsp;GHaer mantiqi&nbsp;/&nbsp;
			GHaer zaruuri&nbsp;/&nbsp;naqiiz
inconsequential : a.##adna&nbsp;/&nbsp;bey rabt&nbsp;/&nbsp;bil daliil&nbsp;/&nbsp;chhoTa&nbsp;/&nbsp;
			GHaer mantiqi&nbsp;/&nbsp;naaqis
inconsiderable : 	a.##GHaer zaruuri
inconsiderate : 	a.##aaqibat naa andeySH&nbsp;/&nbsp;mutaGHaafil
inconsistent : 	a.##alaHedah&nbsp;/&nbsp;jhuuTa&nbsp;/&nbsp;kachcha&nbsp;/&nbsp;mutaraddid&nbsp;/&nbsp;
			naa munaasib&nbsp;/&nbsp;naa paa'edaar
inconsistency : 	n.##kachcha pan(m.)&nbsp;/&nbsp;taraddud(m.)
inconsolable : 	a.##dil SHikastah&nbsp;/&nbsp;laa ilaaj&nbsp;/&nbsp;laa dawa
inconstancy : 	n.##naa paa'edaari 
inconstant : 	a.##kachcha&nbsp;/&nbsp;mutaraddid
incontestable : 	a.##aTal&nbsp;/&nbsp;musallimah&nbsp;/&nbsp;naa qaabil e tardiid
incontinent : 	a.##faajir&nbsp;/&nbsp;najis
inconvenience : 	n.##takliif&nbsp;/&nbsp;zaeHmat
inconvenient : 	a.##duSHwaar&nbsp;/&nbsp;naa mowaafiq
inconvertible : 	a.##moHkam
incorporate : 	v.t.##daaKHil karna&nbsp;/&nbsp;jazb karna&nbsp;/&nbsp;SHaamil karna
incorporation : 	n.##duKHuuul(m.)&nbsp;/&nbsp;SHumuul(m.)
incorrect :       a.      GHalat
incorrectness : 	n.##GHalat pan
incorrigible : 	a.##naa qaabil e islaaH
incorrupt : 	a.##KHaalis&nbsp;/&nbsp;paarsa&nbsp;/&nbsp;saabit&nbsp;/&nbsp;saHiiH&nbsp;/&nbsp;sachcha&nbsp;/&nbsp;Thiik
incrassate : 	v.t&nbsp;/&nbsp;i.##gaarRha karna&nbsp;/&nbsp;gaaRha hona
increase :        v.i.    baRhna&nbsp;/&nbsp;chaRhna&nbsp;/&nbsp;ezaafah hona&nbsp;/&nbsp;par waan chaRhna&nbsp;/&nbsp;
			zeyaadah hona
increase :        v.t.    baRhaana&nbsp;/&nbsp;ezaafah karna&nbsp;/&nbsp;zeyaadah karna
increase : 	n.##afzaa'iSH(f.)&nbsp;/&nbsp;beySHi(f.)&nbsp;/&nbsp;ezaafah(m.)&nbsp;/&nbsp;
			fazl(m.)&nbsp;/&nbsp;zeyaadti(f.)
increased : 	n.##afza&nbsp;/&nbsp;ezaafah&nbsp;/&nbsp;zaa'ed
increasingly : 	adv.##baRhtey hu'ey
incredible : 	a.##naa qaabil e yaqiin
increment : 	n.##afzaa'iSH&nbsp;/&nbsp;ezaafah&nbsp;/&nbsp;zeyaadti
incremental : 	a.##afzaa'isHi
incriminate : 	v.t.##ilzaam lagaana&nbsp;/&nbsp;mulzim Thaeraana
incrimination : 	n.##ilzaam taraaSHi
incrustation : 	n.##khuranD(f.)&nbsp;/&nbsp;papRi(f.)&nbsp;/&nbsp;parat(f.)&nbsp;/&nbsp;taeh(f.)
incubate : 	v.t.##anDey seyna&nbsp;/&nbsp;baeThna&nbsp;/&nbsp;GHaur karna
incubus : 	n.##Daraa'ona KHwaab(m.)&nbsp;/&nbsp;kaabus(m.)&nbsp;/&nbsp;saayah(m.)
inculcate : 	v.t.##samjhaana&nbsp;/&nbsp;sikhlaana&nbsp;/&nbsp;taakiid karna&nbsp;/&nbsp;
			zabar dasti sikhaana&nbsp;/&nbsp;zehen naSHiin karna
			
inculcation : 	n.##taakiid(f.)&nbsp;/&nbsp;talqiin(f.)&nbsp;/&nbsp;taliim(f.)
inculpable : 	a.##bey gunaah&nbsp;/&nbsp;bey ilzaam&nbsp;/&nbsp;masuum
inculpate : 	v.t.##bohtaan lagaana&nbsp;/&nbsp;doSH deyna&nbsp;/&nbsp;ilzaam lagaana
inculpation : 	n.##bohtaan(m.)&nbsp;/&nbsp;ilzaam taraaSHi(f.)
incumbent :       a.##farz&nbsp;/&nbsp;laazim&nbsp;/&nbsp;waajib&nbsp;/&nbsp;zaruuri
incumbent : 	n.##iHdey daar(m.)
incumbency : 	n.##asaami(f.)&nbsp;/&nbsp;farz(m.)
incur : 		v.t.##baandhna&nbsp;/&nbsp;bar daaSHt karna&nbsp;/&nbsp;
			Daalna&nbsp;/&nbsp;dukh jheylna&nbsp;/&nbsp;musiibat meyn paRna
			
incurrence : 	n.##bar daaSHt(f.)&nbsp;/&nbsp;zimmah daari(f.)		
incurious : 	a.##mutaGHaafil
incursion : 	n.##chhaapa(m.)&nbsp;/&nbsp;chaRhaa'i(f.)&nbsp;/&nbsp;dhaawa(m.)&nbsp;/&nbsp;
			Hamlah(m.)&nbsp;/&nbsp;mudaaKHilat(f.)
			
incursive : 	a.##Hamlah aawar
incurvate : 	v.t.##KHam deyna&nbsp;/&nbsp;TeyRha karna
incurvature : 	n.##KHam(m.)
incuse : 		v.t.##naqSH karna&nbsp;/&nbsp;Thappa lagaana
incurable : 	a.##naa qaabil e ilaaj
indebted : 	a.##diin daar&nbsp;/&nbsp;eHsaan mand&nbsp;/&nbsp;minnat kaSH&nbsp;/&nbsp;
			qarz daar&nbsp;/&nbsp;rahiin e minnat&nbsp;/&nbsp;zeyr baar
indebtedness : 	n.##eHsaan mandi(f.)&nbsp;/&nbsp;qarz daari(f.)&nbsp;/&nbsp;zeyr baari(f.)
indebtment : 	n.##zeyr baari(f.)
indecency : 	n.##baazaari pan(f.)&nbsp;/&nbsp;bura pan(f.)&nbsp;/&nbsp;fuHaaSHat(f.)
indecent : 	a.##baa zaari&nbsp;/&nbsp;bey Haya&nbsp;/&nbsp;bura&nbsp;/&nbsp;faaHiSH(m.)&nbsp;/&nbsp;faaHiSHah(f.)&nbsp;/&nbsp;
			gandah&nbsp;/&nbsp;mayuub&nbsp;/&nbsp;rakiik
indecipherable : 	a.##laa yanHal
indecision : 	n.##do dili(f.)&nbsp;/&nbsp;Hal chal(f.)&nbsp;/&nbsp;pas o peySH(f.)&nbsp;/&nbsp;
			taraddud(m.)
indecisive : 	a.##Daanwaan Dol&nbsp;/&nbsp;Dhil mil&nbsp;/&nbsp;do dila
indecisiveness : 	n.##hich kichaahaT(f.)&nbsp;/&nbsp;talawwun
indecorous : 	a.##bad taehziib&nbsp;/&nbsp;bey huudah&nbsp;/&nbsp;kuDhab&nbsp;/&nbsp;naa zeyba
indecorum : 	n.##bad mazaaqi(f.)&nbsp;/&nbsp;bey adabi(f.)&nbsp;/&nbsp;bey huudgi(f.)&nbsp;/&nbsp;
			gustaaKHi(f.)
indeed :          adv.##albattah&nbsp;/&nbsp;bar Haq&nbsp;/&nbsp;dar asl&nbsp;/&nbsp;dar Haqiiqat&nbsp;/&nbsp;
			Thiik&nbsp;/&nbsp;yaqiinan&nbsp;/&nbsp;zaruur
indefatigible : 	a.##an thak&nbsp;/&nbsp;bey takaan&nbsp;/&nbsp;chaRhey dam&nbsp;/&nbsp;
			naa qaabl e takaan&nbsp;/&nbsp;paeham
			
indefensible : 	a.##bey bachaa'o&nbsp;/&nbsp;naa qaabil e moaafi
indefensibility : n.##bey panaahi(f.)&nbsp;/&nbsp;bey izri(f.)
indefinite : 	a.##bey SHumaar&nbsp;/&nbsp;GHaer maeHduud&nbsp;/&nbsp;laa inteha&nbsp;/&nbsp;mubham
indefinitely : 	a.##bila taiyun&nbsp;/&nbsp;laa inteha
indefinteness : 	n.##abhaam(m.)&nbsp;/&nbsp;laa maeHduudiyat(f.)
indelible : 	a.##an miT&nbsp;/&nbsp;pakki&nbsp;/&nbsp;raasiKH
indelibility : 	n.##an miTa pan(m.)&nbsp;/&nbsp;paa'eydaari(f.)&nbsp;/&nbsp;pakka pan(m.)&nbsp;/&nbsp;
			puKHtahgi(f.)
indelicate : 	a.##bad numa&nbsp;/&nbsp;bey baak&nbsp;/&nbsp;bey Haya&nbsp;/&nbsp;bey Hijaab&nbsp;/&nbsp;bey His&nbsp;/&nbsp;
			bhadda&nbsp;/&nbsp;naa SHaa'estah
indemnify : 	v.t.##abraa karna&nbsp;/&nbsp;DanD deyna&nbsp;/&nbsp;kafaalat deyna&nbsp;/&nbsp;
			moaawizah deyna&nbsp;/&nbsp;taawaan deyna
indemnity : 	n.##amaan(f.)&nbsp;/&nbsp;bachaa'o&nbsp;/&nbsp;har jaanah(m.)&nbsp;/&nbsp;moaawizah(m.)&nbsp;/&nbsp;
			taawaan(m.)&nbsp;/&nbsp;talaafi(f.)
indent : 		v.t.##daantey Daalna&nbsp;/&nbsp;farmaa'iSH bheyjna&nbsp;/&nbsp;niSHaan daalna
indenture : 	n.##iqraar naamah(m.)&nbsp;/&nbsp;moaaHidah(m.)
indentured : 	a.##muqaiyyad SHudah
independence : 	n.##aazaadi(f.)&nbsp;/&nbsp;isteqlaal(m.)&nbsp;/&nbsp;KHud muKHtaari(f.)
independence day : n.##yaum e aazaadi(m.)
independency : 	n.##aazaadi(f.)&nbsp;/&nbsp;isteqlaal(m.)&nbsp;/&nbsp;KHud muKHtaari(f.)
independent :     a.##aasuudah&nbsp;/&nbsp;aazaad&nbsp;/&nbsp;alag&nbsp;/&nbsp;faariGH ul baal&nbsp;/&nbsp;
			khaata piita&nbsp;/&nbsp;&nbsp;/&nbsp;KHud muKHtaar&nbsp;/&nbsp;KHud sar&nbsp;/&nbsp;peyT bhara
independently : 	adv.##aazaad aanah&nbsp;/&nbsp;juda gaanah
indescribable : 	a.##GHaer mutaiyan&nbsp;/&nbsp;mubham&nbsp;/&nbsp;naa qaabil e bayaan
indestructible : 	a.##laa faani&nbsp;/&nbsp;laa zawaal
indeterminable : 	a.##bey inteha&nbsp;/&nbsp;naa qaabil e iKHtetaam
indeterminate : 	a.##bey SHumaar&nbsp;/&nbsp;GHaer maeHduud&nbsp;/&nbsp;mubham
index : 		n.##fehrist(f.)&nbsp;/&nbsp;iSHaariyah(m.)
index finger : 	n.##SHahaadat ki ungli(f.)
Indiaman : 	n.##tijaarti jahaaz(m.)
indic : 		a.##hindi&nbsp;/&nbsp;hindwi&nbsp;/&nbsp;hindustaani
indicant : 	a.##bataaney waala&nbsp;/&nbsp;niSHaan dahindah&nbsp;/&nbsp;
			numaa'indah
indicate : 	v.t.##bataana&nbsp;/&nbsp;iSHaarah karna&nbsp;/&nbsp;paehchaanna&nbsp;/&nbsp;
			zaahir karna
indication : 	n.##alaamat(f.)&nbsp;/&nbsp;dalaalat(f.)&nbsp;/&nbsp;iSHaarah(m.)&nbsp;/&nbsp;izhaar(m.)&nbsp;/&nbsp;
			niSHaan dahi(f.)&nbsp;/&nbsp;paehchaan(f.)
indications : 	n.##aasaar(m.)
indicator : 	n.##andaazah(m.)&nbsp;/&nbsp;miqyaas(m.)&nbsp;/&nbsp;muSHiir(m.)&nbsp;/&nbsp;muzhar(m.)&nbsp;/&nbsp;
			niSHaan dahi karney waala(m.)
indict : 		v.t.##ilazzm lagaana&nbsp;/&nbsp;illat lagaana&nbsp;/&nbsp;maaKHuuz karna&nbsp;/&nbsp;
			muqaddamah chalaana
			
indictment : 	n.##chaalaan(m.)&nbsp;/&nbsp;dawa(m.)&nbsp;/&nbsp;ilzaam(m.)&nbsp;/&nbsp;isteGHaasa(m.)&nbsp;/&nbsp;
			naaliSH(f.)
			
indiction : 	n.##farmaan
indifference : 	n.##adam e tawajjoh(m.)&nbsp;/&nbsp;bey Hisi(f.)&nbsp;/&nbsp;bey parwaahi(f.)&nbsp;/&nbsp;
			bey ruKHi(f.)&nbsp;/&nbsp;rukhaa'i(f.)&nbsp;/&nbsp;sard mehri(f.)
indifferent :     a.##bey His&nbsp;/&nbsp;bey parwaah&nbsp;/&nbsp;GHaer jaanib daar&nbsp;/&nbsp;
			ghaTiya&nbsp;/&nbsp;mast&nbsp;/&nbsp;sard mehr
indigence : 	n.##faqiiri(f.)&nbsp;/&nbsp;GHariibi(f.)&nbsp;/&nbsp;mafluukiyat(f.)&nbsp;/&nbsp;
			muflisi(f.)&nbsp;/&nbsp;naa daari(f.)&nbsp;/&nbsp;neyaaz mandi(f.)
indigent : 	n.##bey nawa&nbsp;/&nbsp;bey zar&nbsp;/&nbsp;faqiir&nbsp;/&nbsp;gada&nbsp;/&nbsp;Haajat mand&nbsp;/&nbsp;
			kangaal&nbsp;/&nbsp;mafluuk&nbsp;/&nbsp;moHtaaj&nbsp;/&nbsp;muflis&nbsp;/&nbsp;neyaaz mand
indigene : 	a.##deysi&nbsp;/&nbsp;maqaami&nbsp;/&nbsp;mulki
indigenous :      a.      deysi&nbsp;/&nbsp;fitri&nbsp;/&nbsp;mulki&nbsp;/&nbsp;swadeySHi
indigested : 	a.##abtar&nbsp;/&nbsp;bey socha samjha&nbsp;/&nbsp;bey tartiib&nbsp;/&nbsp;
			darham barham&nbsp;/&nbsp;kachcha&nbsp;/&nbsp;pareysHaan
indigestible : 	a.##ajiiran&nbsp;/&nbsp;giraan&nbsp;/&nbsp;saqiil
indigestion : 	n.##bad hazmi(f.)&nbsp;/&nbsp;giraani(f.)
indignant : 	a.##bar ham&nbsp;/&nbsp;GHzab naak&nbsp;/&nbsp;KHafa&nbsp;/&nbsp;KHaSHm giin&nbsp;/&nbsp;naa raaz&nbsp;/&nbsp;
			ranjiidah
indignation : 	n.##GHaez&nbsp;/&nbsp;GHazab&nbsp;/&nbsp;GHussah&nbsp;/&nbsp;KHafagi&nbsp;/&nbsp;peych o taab&nbsp;/&nbsp;
			taeSH
indignantly : 	adv.##barhami sey&nbsp;/&nbsp;GHussey sey
 
indignity : 	n.##ehaanat(f.)&nbsp;/&nbsp;bey izati(f.)&nbsp;/&nbsp;hattak(f.)&nbsp;/&nbsp;
			KHwaari(f.)&nbsp;/&nbsp;tauhiin(f.)&nbsp;/&nbsp;zillat(f.)
indigo : 		n.##niil(m.)
indirect : 	a.##bil waastah&nbsp;/&nbsp;chakkar ka&nbsp;/&nbsp;kaj&nbsp;/&nbsp;KHam daar&nbsp;/&nbsp;munHarif&nbsp;/&nbsp;
			pheyr ka
indirection : 	n.##chaal(f.)&nbsp;/&nbsp;daGHa(f.)&nbsp;/&nbsp;hey pheyr(m.)&nbsp;/&nbsp;makkaari(f.)
			
indirectly : 	adv.##iSHaaratan&nbsp;/&nbsp;kinaayatan&nbsp;/&nbsp;zimnan
indirectness : 	n.##chakkar&nbsp;/&nbsp;inHeraaf&nbsp;/&nbsp;laag lapeyT&nbsp;/&nbsp;
			peych&nbsp;/&nbsp;pheyr
indiscernable : 	a.##naa qaabil e idraak
indiscreet :      a.      bey leHaaz&nbsp;/&nbsp;bey tamiiz&nbsp;/&nbsp;GHaafil&nbsp;/&nbsp;naa faehm
indiscretion : 	n.##bey aqli(f.)&nbsp;/&nbsp;bey tamiizi(f.)&nbsp;/&nbsp;Hemaaqat(f.)
indiscriminate : 	a.##anaap SHanaap&nbsp;/&nbsp;andha dhund&nbsp;/&nbsp;bila farq
indiscriminating : a.    bey imteyaaz&nbsp;/&nbsp;bey rabt
indispensable : 	a.##aTal&nbsp;/&nbsp;farz&nbsp;/&nbsp;laazmi&nbsp;/&nbsp;naa guziir&nbsp;/&nbsp;
			waajib&nbsp;/&nbsp;zaruuri
indispensably : 	adv.##zaruuratan
indispose : 	v.t.##bey zaar karna&nbsp;/&nbsp;dil pheyrna&nbsp;/&nbsp;KHastah Haal banaana&nbsp;/&nbsp;
			maluul karna&nbsp;/&nbsp;naa saaz karna&nbsp;/&nbsp;ukta deyna
indisposed :      a.      aliil&nbsp;/&nbsp;biimaar&nbsp;/&nbsp;KHastah Hall&nbsp;/&nbsp;maluul&nbsp;/&nbsp;naa KHuSH&nbsp;/&nbsp;
			naa saaz
indisposition : 	n.##alaalat(f.)&nbsp;/&nbsp;aarizah(m.)&nbsp;/&nbsp;bey dili(f.)&nbsp;/&nbsp;biimaari(f.)&nbsp;/&nbsp;
			kasaala(m.)&nbsp;/&nbsp;maandagi(f.)
indisputable : 	a.##bila Hujjat&nbsp;/&nbsp;maana hu'a&nbsp;/&nbsp;musallam
indissoluble : 	a.##mazbuut&nbsp;/&nbsp;paa'eydaar&nbsp;/&nbsp;pakka&nbsp;/&nbsp;ustuwaar
indistinct : 	a.##adhuura&nbsp;/&nbsp;dhundhla&nbsp;/&nbsp;gaD maD&nbsp;/&nbsp;lagi lipTi&nbsp;/&nbsp;mubham
indistinguishable : a.##bey SHinaaKHt&nbsp;/&nbsp;naa qaabil e imtiaaz&nbsp;/&nbsp;
			naa qaabil e tafriiq
indite : 		v.t.##imlaa karaana&nbsp;/&nbsp;likhna&nbsp;/&nbsp;tasniif karna
inditement : 	n.##imla(m.)&nbsp;/&nbsp;likhaa'i(f.)&nbsp;/&nbsp;taeHriir(f.)
inditer : 	n.##muHarrir&nbsp;/&nbsp;musannif
individual : 	a.##infiraadi&nbsp;/&nbsp;phuTkal&nbsp;/&nbsp;phuTkar&nbsp;/&nbsp;zaati
individual : 	n.##bandah(m.)&nbsp;/&nbsp;eyk ikaa'i(f.)&nbsp;/&nbsp;fard(m.)&nbsp;/&nbsp;
			kas(m.)&nbsp;/&nbsp;mutanaffis(m.)&nbsp;/&nbsp;SHaKHs(m.)
individually : 	adv.##alag alag&nbsp;/&nbsp;fardan fardan&nbsp;/&nbsp;juda juda
individualism : 	n.##anaaniyat(f.)&nbsp;/&nbsp;infraadiyat(m.)&nbsp;/&nbsp;KHud GHarzi(f.)
individuality : 	n.##infiraadiyat(f.)&nbsp;/&nbsp;SHaKHsiyat(f.)&nbsp;/&nbsp;yaktaa'i(f.)
			
individualise : 	v.t.##munfarad karna&nbsp;/&nbsp;saraaHat karna
individuation : 	n.##infiraadyat(f.)&nbsp;/&nbsp;tafriid(f.)
individisible : 	a.##GHaer munqasim&nbsp;/&nbsp;naa qaabil e taqasiim
indocile : 	a.##GHaer mutii&nbsp;/&nbsp;sar kaSH
indocility : 	n.##sar kaSHi(f.)
indoctrinate : 	v.t.##zehen naSHiin karaana
indoctrination : 	n.##talqiin e aqiidah
indolence : 	n.##aalkas&nbsp;/&nbsp;jumuud&nbsp;/&nbsp;kasal&nbsp;/&nbsp;susti
indolency : 	n.##aaraam pasandi&nbsp;/&nbsp;aaraam talabi&nbsp;/&nbsp;kaahili&nbsp;/&nbsp;
			kaam chori&nbsp;/&nbsp;susti
indolent :        a.##aaraam pasand&nbsp;/&nbsp;aaraam talab&nbsp;/&nbsp;kaahil&nbsp;/&nbsp;
			kaam chor&nbsp;/&nbsp;sust
indomitable : 	a.##bey qaabu&nbsp;/&nbsp;;naa qaabil e tasallut&nbsp;/&nbsp;sar kaSH
indoor : 		a.##andruuni&nbsp;/&nbsp;daaKHili&nbsp;/&nbsp;ghar ka
indoors : 	adv.##andruun e KHaanah
indubious : 	a.##yaqiini
indubitable : 	a.##bey sHak&nbsp;/&nbsp;durust&nbsp;/&nbsp;naa qaabil e SHubhah&nbsp;/&nbsp;Thiik
induce : 		v.t.##aamaadah karna&nbsp;/&nbsp;barpa karna&nbsp;/&nbsp;ghasiit laana&nbsp;/&nbsp;
			maa'el karna&nbsp;/&nbsp;raaGHib karna
			
inducement : 	n.##mael(m.)&nbsp;/&nbsp;ruGHbat(f.)&nbsp;/&nbsp;tarGHiib(f.)
inducer : 	n.##baais(m.)&nbsp;/&nbsp;laalach dilaaney waala&nbsp;/&nbsp;muHarrik
induct : 		v.t.##aaGHaaz karna&nbsp;/&nbsp;aaSHna karna&nbsp;/&nbsp;daaKHil karna&nbsp;/&nbsp;laana&nbsp;/&nbsp;
			milaana&nbsp;/&nbsp;taarruf karaana
inductee : 	a.##mutarrif
inductile : 	a.##bey lachak
induction : 	n.##aaGHaaz(m.)&nbsp;/&nbsp;istedlaal(m.)
inductive : 	a.##istedlaali
indulge : 	v.t.##bey eHteyaati karna
indulge : 	v.i.##aeSH karna&nbsp;/&nbsp;SHoGHl karna
indulgence : 	n.##aeSH pasndi&nbsp;/&nbsp;reaayat
indulgent : 	a.##narm dil
indurate : 	v.i.##jamna&nbsp;/&nbsp;kaRa hona&nbsp;/&nbsp;kaThor hona&nbsp;/&nbsp;pathraana&nbsp;/&nbsp;saKHt hona
indurate : 	v.t.##jamaana&nbsp;/&nbsp;kaRa karna&nbsp;/&nbsp;kaThor karna&nbsp;/&nbsp;
			kaTTar bannana&nbsp;/&nbsp;ziddi banaana
indurate : 	a.##bey dard&nbsp;/&nbsp;bey His&nbsp;/&nbsp;haTiila&nbsp;/&nbsp;kaThor&nbsp;/&nbsp;
			saKHt&nbsp;/&nbsp;sang dil
induration : 	n.##bey Hisi(f.)&nbsp;/&nbsp;kaRa pan(m.)&nbsp;/&nbsp;naa tarsi(f.)&nbsp;/&nbsp;
			saKHt dili(f.)&nbsp;/&nbsp;sang dili(f.)
industrial :      a.##Hirfati&nbsp;/&nbsp;sanati
industrialise : 	v.t.##sanati banaana&nbsp;/&nbsp;sanat kaari karna
industrialism : 	n.##sanati nizaam(m.)
industrialist : 	n.##sanat gar&nbsp;/&nbsp;sanat kaar
industrious :     a.##jafa kaSH&nbsp;/&nbsp;meHnti&nbsp;/&nbsp;muSHaqqati
industry : 	n.##Hirfat(f.)&nbsp;/&nbsp;sanat(f.)
indwell : 	v.i.##andar raehna&nbsp;/&nbsp;samaana
indweller : 	n.##baasi(m.)&nbsp;/&nbsp;baaSHindah(m.)&nbsp;/&nbsp;KHaanah naSHiin(m.)
inebriant : 	n&nbsp;/&nbsp;a.##maKHmuur&nbsp;/&nbsp;matwaala&nbsp;/&nbsp;mast&nbsp;/&nbsp;
			naSHah aawar chiiz
inebriate : 	v.t.##maKHmuur karna&nbsp;/&nbsp;mast karna&nbsp;/&nbsp;pareySHaan karna&nbsp;/&nbsp;
			SHaraab pilaana
inebriate :       a.##KHumaar aaluud&nbsp;/&nbsp;maKHmuur
inebriate : 	n.##madhoSH&nbsp;/&nbsp;maKHmuur&nbsp;/&nbsp;naSHey meyn&nbsp;/&nbsp;SHaraabi
ineffaceable : 	a.##naa qaabil e bayaan&nbsp;/&nbsp;patthar ki lakiir
ineffectual :     a.##akaarat&nbsp;/&nbsp;bey kaar&nbsp;/&nbsp;bey taa siir&nbsp;/&nbsp;halka&nbsp;/&nbsp;sust
ineffective : 	a.##bey asar&nbsp;/&nbsp;bey kaar&nbsp;/&nbsp;GHaer mua'ssar&nbsp;/&nbsp;naa kaafi
ineffetiveness : 	n.##bey asri(f.)&nbsp;/&nbsp;bey kaari(f.)&nbsp;/&nbsp;naa laa'eqi(f.)
inefficacious : 	a.##bey asar&nbsp;/&nbsp;bey suud&nbsp;/&nbsp;GHaer mufiid&nbsp;/&nbsp;kachcha
inefficacy : 	n.##bey asari(f.)&nbsp;/&nbsp;kam zori(f.)&nbsp;/&nbsp;KHaami(m.)
inefficiant : 	a.##bey kaar&nbsp;/&nbsp;bey natiijah&nbsp;/&nbsp;bey suud&nbsp;/&nbsp;naa laa'eq&nbsp;/&nbsp;kaahil&nbsp;/&nbsp;
			nikmma&nbsp;/&nbsp;sust
			
inefficiency : 	n.##bey taasiiri(f.)&nbsp;/&nbsp;kam zori(f.)&nbsp;/&nbsp;naa laa'eqi(f.)
inelastic : 	a.##bey lachak&nbsp;/&nbsp;bey loch&nbsp;/&nbsp;saKHt
inelegant : 	a.##bad numa&nbsp;/&nbsp;bey Dal&nbsp;/&nbsp;bey Dhanga&nbsp;/&nbsp;bhadda&nbsp;/&nbsp;bhonDa&nbsp;/&nbsp;
			KHaam&nbsp;/&nbsp;lachchar
inelegance : 	n.##bad asluubi(f.)&nbsp;/&nbsp;bey Dhanga pan(m.)&nbsp;/&nbsp;
			bhadda pan(m.)&nbsp;/&nbsp;bhonDa pan(m.)
ineligible : 	a.##naa laa'eq&nbsp;/&nbsp;naa qaabil e inteKHaab
			
ineluctable : 	a.##naa guziir
inept : 		a.##anaaRi&nbsp;/&nbsp;naa aehl&nbsp;/&nbsp;bey huudah&nbsp;/&nbsp;bey tuka&nbsp;/&nbsp;naa kaarah&nbsp;/&nbsp;
			naa laa'eq&nbsp;/&nbsp;naa mauzuun
ineptitude : 	n.##anaaRi pan(m.)&nbsp;/&nbsp;bey tuka pan(m.)&nbsp;/&nbsp;
			naa aehliyat(f.)&nbsp;/&nbsp;naa laa'eqi(f.)
inequality : 	n.##GHaer masaawi pan(m.)&nbsp;/&nbsp;GHaer yaksaaniyat(f.)&nbsp;/&nbsp;
			kami beySHi(f.)&nbsp;/&nbsp;naa ham waari(f.)
inequitable : 	a.##bey insaaf&nbsp;/&nbsp;naa munaasib
inequity : 	n.##bey insaafi(f.)&nbsp;/&nbsp;fasaad(m.)&nbsp;/&nbsp;fisq(m.)&nbsp;/&nbsp;Haef(f.)
ineradicable : 	a.##naa qaabil e insidaad
inerrable : 	a.##masuum
